title,longitude,latitude,image,url
Agastyesvara,78.716705299,10.4377391385,https://mdid.colgate.edu/colgate_api/image/48/29990.jpg/4000/4000/,https://projectmirador.org/embed/?iiif-content=https://mdid.colgate.edu/presentation/manifest/3481/agastyesvara-panangudi/
Aintali temple,78.52057,10.53972,https://mdid.colgate.edu/colgate_api/image/48/26945.jpg/4000/4000/,https://projectmirador.org/embed/?iiif-content=https://mdid.colgate.edu/presentation/manifest/3470/aintali-temple-kodumbalur/
Bhumishvara,78.531294,10.583317,https://mdid.colgate.edu/colgate_api/image/48/31087.jpg/4000/4000/,https://projectmirador.org/embed/?iiif-content=https://mdid.colgate.edu/presentation/manifest/3480/bhumishvara-viralur/
Brahmapurishvara,79.1825018352,10.8842654923,https://mdid.colgate.edu/colgate_api/image/48/19011.jpg/4000/4000/,https://projectmirador.org/embed/?iiif-content=https://mdid.colgate.edu/presentation/manifest/3473/brahmapurishvara-pullamangai/
Chakravadeshvara,79.1965508834,10.9006203389,https://mdid.colgate.edu/colgate_api/image/48/23083.jpg/4000/4000/,https://projectmirador.org/embed/?iiif-content=https://mdid.colgate.edu/presentation/manifest/3474/chakravadeshvara-chakkrapalli/
Chandrasekhara Temple,78.6103492086,10.874313375,https://mdid.colgate.edu/colgate_api/image/48/30613.jpg/4000/4000/,https://projectmirador.org/embed/?iiif-content=https://mdid.colgate.edu/presentation/manifest/3464/chandrasekhara-temple-tiruchchendurai/
Divyajnaneshvara,78.8890765373,10.8410075429,https://mdid.colgate.edu/colgate_api/image/48/27000.jpg/4000/4000/,https://projectmirador.org/embed/?iiif-content=https://mdid.colgate.edu/presentation/manifest/3475/divyajnaneshvara-koviladi/
Gangajatadhara,79.297686362,11.0309538528,https://mdid.colgate.edu/colgate_api/image/48/23491.jpg/4000/4000/,https://projectmirador.org/embed/?iiif-content=https://mdid.colgate.edu/presentation/manifest/3477/gangajatadhara-govindaputtur/
Kadambavanesvara Temple,79.519696723,11.4598447123,https://mdid.colgate.edu/colgate_api/image/48/23441.jpg/4000/4000/,https://projectmirador.org/embed/?iiif-content=https://mdid.colgate.edu/presentation/manifest/3453/kadambavanesvara-temple-erumbur/
Karkoteshvara,79.1971398219,10.9830278244,https://mdid.colgate.edu/colgate_api/image/48/19294.jpg/4000/4000/,https://projectmirador.org/embed/?iiif-content=https://mdid.colgate.edu/presentation/manifest/3502/karkoteshvara-kamarasavalli/
